IDX,Station,Inc,Cost,Constraint_original,Availability,LATITUDE,LONGITUDE
142,PARKWAY,6034,417332000,Windmaster-Delta pumps 230 kV line,0,38.493819,-121.4526036
143,PASTORIA,2000,100000000,Antelope-Neenach Constraint,0,34.93534855,-118.8429363
144,PEABODY,1766,700000000,Birds Landing-Contra Costa 230kV Line,0,38.28543602,-121.9705054
145,PEASE,707,125000000,Rocklin-Pleaseant grove 115kV line,0,39.16997119,-121.6612033
146,PENASQUITOS,746,206899051,Encina - San Luis Rey 230 kV constraint,0,32.91704603,-117.2192968
147,PISGAH,1046,239000000,Calcite to Lugo Area Constraint,0,34.78155985,-116.3847412
148,PIT 1,26,180000000,Carberry-Round Mountain 230kV Line,0,40.99122753,-121.4978619
149,ROUND MOUNTAIN,26,180000000,Carberry-Round Mountain 230kV Line,0,40.80800054,-121.9356245
150,PITTSBURG,6034,417332000,Windmaster-Delta pumps 230 kV line,0,38.03696944,-121.8967951
151,PLEASANT GROVE,574,0,Rio Oso-Brighton 230kV line,0,38.82272822,-121.3082446
152,POINT LOMA,936,259594519.8,Internal San Diego Area constraint,0,32.74143976,-117.23342
153,POMERADO,936,259594519.8,Internal San Diego Area constraint,0,32.94131718,-117.0328014
154,PRIMM,6800,2165000000,Lugo - Victorville area constraint,0,35.616496,-115.362764
155,PUTAH CREEK,1766,700000000,Birds Landing-Contra Costa 230kV Line,0,38.5230576,-121.9944259
156,RECTOR,2000,4358000000,South of Magunden Constraint,0,36.30387459,-119.2443213
157,RED BLUFF,5000,1386722862,Devers-Red Bluff Constraint,0,33.69874273,-115.3116675
158,RICHMOND Q,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.92617516,-122.3695789
159,RIO OSO,109,9329000,Woodland- Davis 115kV line,0,38.93519967,-121.4667925
160,ROSSMOOR,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.8646817,-122.0804418
161,ROUND MOUNTAIN,8645,2851848000,Vaca Dixon-Tesla 500kV Line,0,40.80800054,-121.9356245
162,SALT CREEK,431,671054000,Miguel 69 kV constraint,0,32.6284,-116.933075
163,SAN LEANDRO U,290,125000000,Grant - Eastshore #2 line 115 kV,0,37.7105722,-122.1486701
164,SAN LUIS OBISPO,784,150000000,Midway 230/115kV TB #3,0,35.26168261,-120.6348902
165,SAN PABLO,290,125000000,Grant - Eastshore #2 line 115 kV,0,37.98522446,-122.3368175
166,SAN RAMON,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.74492955,-121.9364113
167,SANDLOT,1206,334477554.3,Kramer to Victor Area Constraint,0,34.99708326,-117.3031575
168,SANDY VALLEY,1285,356387775.6,GLW 230kV area constraint,0,36.033659,-115.387648
169,SANGER,16891,940000000,Midway-Q2005 230kV Line,0,36.70730241,-119.6107512
170,SANTA CLARA,2000,4358000000,South of Magunden Constraint,0,34.30232428,-119.1853321
171,SANTA ROSA,861,0,Lakeville-Ignacio 230 kV line,0,37.63492167,-120.979524
172,SANTEE (SDGE),936,259594519.8,Internal San Diego Area constraint,0,32.85439899,-116.9683756
173,SCHINDLER,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.40207597,-120.1385628
174,SEMITROPIC,16891,940000000,Midway-Q2005 230kV Line,0,35.60079937,-119.4375746
175,SHADOWRIDGE,936,259594519.8,Internal San Diego Area constraint,0,33.14145621,-117.2388333
176,SHAFTER,16891,940000000,Midway-Q2005 230kV Line,0,35.51394301,-119.3175207
177,SILVERADO,50,50000000,Cortina-Eagle Rock 115 kV line,0,38.49982361,-122.4592018
178,SILVERGATE,936,259594519.8,Internal San Diego Area constraint,0,32.694643,-117.143575
179,SISQUOC,784,150000000,Midway 230/115kV TB #3,0,34.87850521,-120.3306862
180,SLOAN CANYON,1285,356387775.6,GLW 230kV area constraint,0,35.497393,-115.041205
181,SMYRNA,16891,940000000,Midway-Q2005 230kV Line,0,35.71791833,-119.4553564
182,SOBRANTE,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.90565009,-122.2084971
183,SOLAR,16891,940000000,Midway-Q2005 230kV Line,0,35.38225486,-120.0598999
184,SPRINGVILLE,2000,4358000000,South of Magunden Constraint,0,36.10795523,-118.9380761
185,STOCKDALE,16891,940000000,Midway-Q2005 230kV Line,0,35.3170815,-119.067683
186,SUNCREST,700,100000000,Chicarita 138 kV constraint,0,32.80835987,-116.6832914
187,CRESTWOOD,2823,782943728,East of Miguel constraint,0,32.69900529,-116.3537982
188,SYCAMORE CANYON,700,100000000,Chicarita 138 kV constraint,0,32.91763164,-117.0307143
189,TABLE MT.,8645,2851848000,Vaca Dixon-Tesla 500kV Line,0,39.55512789,-121.6447972
190,TAFT,16891,940000000,Midway-Q2005 230kV Line,0,35.13602218,-119.4820001
191,TASSAJARA,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.80003483,-121.9077024
192,TEMBLOR,784,150000000,Midway 230/115kV TB #3,0,35.38275365,-119.6962081
193,TEMPLETON,16891,940000000,Midway-Q2005 230kV Line,0,35.55520012,-120.6804021
194,TEVIS,16891,940000000,Midway-Q2005 230kV Line,0,35.3194766,-119.1288705
195,TORTILLA,1206,334477554.3,Kramer to Victor Area Constraint,0,34.86319211,-117.030916
