Name,Capacity,Path Cost,Bus Index,Bus Name,Cap Increase,Price,Constraint Name
Ventura Solar,2.9,19710268,119,MOORPARK,2000,4358000000,South of Magunden Constraint
Wonderful Nursery,2.3,4905478.5,174,SEMITROPIC,16891,940000000,Midway-Q2005 230kV Line
Ocotillo Wells,50,50555776,130,OCOTILLO,2823,782943728,East of Miguel constraint
"Mesquite Solar 4, LLC",52.5,181849184,251,BLYTHE,2823,782943728,East of Miguel constraint
"Java Solar, LLC",13.5,7318484,123,MUSTANG,0,0,Moss Landing-Las Aguilas 230 kV Line
Sheep Creek Community Solar Farm,3,16075376,263,ROADWAY,1206,334477554.3,Kramer to Victor Area Constraint
Grossmont-Cuyamaca-Cuyamaca Col. Solar &,1.4,10031574,50,EL CAJON,431,671054000,Miguel 69 kV constraint
POM Plant 1,2.4,6647483,169,SANGER,16891,940000000,Midway-Q2005 230kV Line
POM Plant 2,1.6,6528039,169,SANGER,16891,940000000,Midway-Q2005 230kV Line
Lake Elsinore Canopies - Lakeside HS,1,10475907,287,ALBERHILL,3350,89000000,Etiwanda-Rancho Vista Constraint
Proxima,190,3233301.5,277,STANISLAUS RECOVERY,16891,940000000,Midway-Q2005 230kV Line
Wonderful Firebaugh,5.4,19283956,109,MENDOTA,0,0,Moss Landing-Las Aguilas 230 kV Line
Wonderful Kings,3.5,4970761.5,3,ARCO (PGE),16891,940000000,Midway-Q2005 230kV Line
CA Jurupa Valley 3251 De Forest Circle,4.5,5875148,314,MIRA LOMA (SCE),0,0,SCE Metro Area Default Constraint
West Tambo Clean Power II,2,23681608,110,MERCED (PGE),16891,940000000,Midway-Q2005 230kV Line
CA Manteca 730 Spreckels Ave,1.5,4330228.5,104,MANTECA,1255,1700000000,Kasson Jct-Heinz 115 kV line
BCE Los Alamitos 2,10,5435393,286,ALAMITOS,800,28000000,Hinson - Del Amo Constraint
BCE Los Alamitos 1,10,4617190,286,ALAMITOS,800,28000000,Hinson - Del Amo Constraint
Baldy Mesa Solar & Storage,150,5434358.5,263,ROADWAY,1206,334477554.3,Kramer to Victor Area Constraint
IGS OXR1,4.8,13849361,170,SANTA CLARA,2000,4358000000,South of Magunden Constraint
9150 Hermosa Solar GM,1.3,6270781.5,311,RANCHO VISTA,0,0,SCE Metro Area Default Constraint
McFarland A Solar and Storage,200,142380544,251,BLYTHE,2823,782943728,East of Miguel constraint
McFarland B Solar and Storage,300,143484080,251,BLYTHE,2823,782943728,East of Miguel constraint
City of Rosamond (CA),1,23089070,285,ANTELOPE,2000,100000000,Antelope-Neenach Constraint
Kings CSG 3 LLC Community Solar,3,798591.8125,123,MUSTANG,0,0,Moss Landing-Las Aguilas 230 kV Line
Visalia CSG LLC,3,618457.25,156,RECTOR,2000,4358000000,South of Magunden Constraint
Tulare CSG LLC,3,3532931.25,1,ALPAUGH,16891,940000000,Midway-Q2005 230kV Line
Lockhart Solar PV II,84.4,6901646.5,167,SANDLOT,1206,334477554.3,Kramer to Victor Area Constraint
Wheeler Ridge,4.5,20880734,87,LAKEVIEW,16891,940000000,Midway-Q2005 230kV Line
Crystal Farms Local Solar,3.5,4978445.5,69,HELM,0,0,Moss Landing-Las Aguilas 230 kV Line
Fresno Community Solar,10,7079365.5,206,WEST FRESNO,16891,940000000,Midway-Q2005 230kV Line
Lost Hills Oilfield,1.9,16102271,3,ARCO (PGE),16891,940000000,Midway-Q2005 230kV Line
Estrella Solar & Storage,56,13045254,283,WHIRLWIND,1500,13200000,Antelope-Vincent Constraint
Raceway Solar & Storage,125,14588441,283,WHIRLWIND,1500,13200000,Antelope-Vincent Constraint
Agriculture Capital - Legacy Packing,1.6,21784324,107,MCCALL,16891,940000000,Midway-Q2005 230kV Line
Bishop Ranch - BR 1-Y,0.7,3648514,166,SAN RAMON,6034,417332000,Windmaster-Delta pumps 230 kV line
Bishop Ranch - BR 8-P,1,4717762.5,166,SAN RAMON,6034,417332000,Windmaster-Delta pumps 230 kV line
Vulcan San Emidio Solar,1.4,10130103,87,LAKEVIEW,16891,940000000,Midway-Q2005 230kV Line
SEPV Cuyama Hybrid,1.6,41255368,190,TAFT,16891,940000000,Midway-Q2005 230kV Line
Avenue 26 Solar,2.6,6579769.5,25,CHOWCHILLA,16891,940000000,Midway-Q2005 230kV Line
East Cleveland Road Solar,3,15555633,38,DAIRYLAND,358,125000000,Merced 115/70kV TB#2
Baldy Mesa 2_Silver Peak Hybrid,50,5306943.5,263,ROADWAY,1206,334477554.3,Kramer to Victor Area Constraint
Scarlet II Hybrid,200,16003010,109,MENDOTA,0,0,Moss Landing-Las Aguilas 230 kV Line
"Sunny Cow Solar, LLC",2,7651733,194,TEVIS,16891,940000000,Midway-Q2005 230kV Line
IPC 25 Solar,2.4,1871649.25,239,SCHULTE,707,125000000,Rocklin-Pleaseant grove 115kV line
"Case Vander Eyk, Jr Dairy Solar",1.2,6126190,1,ALPAUGH,16891,940000000,Midway-Q2005 230kV Line
Paulsell,20,1637299.75,277,STANISLAUS RECOVERY,16891,940000000,Midway-Q2005 230kV Line
Amazon SAN3 Solar Project,4.6,3266198.5,134,OTAY MESA,4754,29971000,Silvergate - Bay Blvd 230 kV constraint
Cabrillo College,2.4,23231470,241,GREEN VALLEY (PGE),712,380000000,Morganhill-Metcalf 115kV Line
Bishop Ranch - BR 15-DD,0.4,5473951.5,166,SAN RAMON,6034,417332000,Windmaster-Delta pumps 230 kV line
Dos Palos Clean Power,3,30568598,38,DAIRYLAND,358,125000000,Merced 115/70kV TB#2
Tejon Castac Water District Solar,1.3,10772406,143,PASTORIA,2000,100000000,Antelope-Neenach Constraint
Double J Dairy Array,4,19090894,156,RECTOR,2000,4358000000,South of Magunden Constraint
Grossmont College,2.6,6387914,50,EL CAJON,431,671054000,Miguel 69 kV constraint
Lone Oak,2.9,19550248,33,CORCORAN,0,0,Moss Landing-Las Aguilas 230 kV Line
RB Inyokern Solar WDAT 1203 (CSG),19.9,1545563.125,77,INYOKERN,186,329000000,Control to Inyokern area constraint
RB Inyokern Solar WDAT 1281 (CSG),11.9,1679389.375,77,INYOKERN,186,329000000,Control to Inyokern area constraint
Zonneveld Oak Grove,1.5,21546982,107,MCCALL,16891,940000000,Midway-Q2005 230kV Line
River Ranch Dairy,4,16922840,33,CORCORAN,0,0,Moss Landing-Las Aguilas 230 kV Line
Rio Vista Solar,2.7,15403348,215,BIRDS LANDING,1766,700000000,Birds Landing-Contra Costa 230kV Line
Bishop Ranch BR 1-X,0.6,3104358.5,166,SAN RAMON,6034,417332000,Windmaster-Delta pumps 230 kV line
Highway 43 1887-WD,2.3,1946146.125,176,SHAFTER,16891,940000000,Midway-Q2005 230kV Line
