Name,Availability
METCALF 500 kV,"1,667.83"
MIDSUN SW STA 115 kV,-982.6
MIDWAY 115 kV,-981.16
MIDWAY 230 kV,"-1,040.81"
MIDWAY 500 kV,"4,000"
MIGUEL 230 kV,"-1,439.05"
MIGUEL 500 kV,"-1,623.86"
MIGUEL 69 kV,"-2,091.22"
MILLBRAE 115 kV,-312.46
MILPITAS 115 kV,441.13
MIRA LOMA 230 kV,"3,000"
MIRA LOMA 500 kV,"3,000"
MIRA SORRENTO 69 kV,-194.41
MIRAGE 230 kV,-663.19
MIRAMAR 69 kV,-203.99
MIRAMAR GT 69 kV,-204.12
MISSION 138 kV,-276.63
MISSION 230 kV,-324.12
MISSION 69 kV,-275.28
MI-WUK 115 kV,2.08
MOHAVE 500 kV,"-1,277.78"
MONSERATE 69 kV,5.71
MONTA VISTA 115 kV,40.07
MONTA VISTA 230 kV,71.4
MONTA VISTA 60 kV,40.07
MONTAGUE 115 kV,47.46
MONTGOMERY 69 kV,"-2,034.47"
MOORPARK 230 kV,-35.17
MORAGA 115 kV,"-2,437.33"
MORAGA 230 kV,"-13,667.90"
MORGAN HILL 115 kV,-24.43
MORRO BAY SW STA 115 kV,-356.17
MORRO BAY SW STA 230 kV,-349.05
MORRO HILL 69 kV,27.21
MOSHER 60 kV,131.23
MOSS LANDING PP 115 kV,208.87
MOSS LANDING PP 230 kV,913.28
MOSS LANDING PP 500 kV,549.43
MOUNTAIN PASS 115 kV,"-1,199.16"
MOUNTAIN VIEW 115 kV,156.31
MT EDEN 115 kV,-179.92
MURRAY 69 kV,-273.87
MUSTANG SW STA 230 kV,-411.45
NAPA 60 kV,"-3,361.52"
NARROWS 69 kV,-252.47
NATIONAL CITY 69 kV,"-1,103.50"
NAVAL STATION MTR 69 kV,"-1,110.20"
NEENACH 66 kV,98.53
NEWARK 115 kV,-417.39
NEWARK 60 kV,"-3,200.30"
NEWARK DIST 230 kV,-417.26
NORD 115 kV,"-3,677.64"
NORTECH 115 kV,"-4,092.71"
NORTH CITY WEST 69 kV,-194.87
NORTH DUBLIN 230 kV,"-6,117.62"
NORTH ISLAND MTR 69 kV,"-1,400.25"
NORTH TOWER 115 kV,"-3,741.53"
NOTRE DAME 115 kV,"-3,677.64"
OAKLAND C (OAKLAND PP) 115 kV,"-2,546.82"
OAKLAND D 115 kV,"-2,637"
OAKLAND J 115 kV,"-2,956.57"
OAKLAND L 115 kV,"-2,574.87"
OAKLAND X 115 kV,"-2,496.92"
OCEAN RANCH 69 kV,37.19
OCEANO 115 kV,-358.87
OCEANSIDE 69 kV,91.78
OCOTILLO 500 kV,"-2,302.65"
OLD RIVER 70 kV,"-1,005.71"
OLD TOWN 230 kV,-279.3
OLD TOWN 69 kV,-273.77
OLEUM PP 115 kV,"-3,100.25"
OLINDA 230 kV,"1,415.38"
OLIVE SWITCHING STATION 115 kV,-981.16
OLIVENHAIN 69 kV,-211.46
OREGON TRAIL 60 kV,"-5,346.34"
ORLAND B 60 kV,"-3,939.79"
ORO LOMA 115 kV,-760.82
ORO LOMA 70 kV,-845.32
OROSI 70 kV,-689.05
OTAY 69 kV,"-1,620.48"
OTAY LAKES 69 kV,"-1,762.89"
OTAY MESA 230 kV,"-1,477.74"
PACIFIC BEACH 69 kV,-255.76
PACIFICA 60 kV,-318.7
PADRE FLAT SW STA 230 kV,-114.76
PADUA 230 kV,"1,377.64"
PAHRUMP 138 kV,"-1,021.15"
PAHRUMP 230 kV,"-1,020.33"
PALA 69 kV,-702.76
PALERMO 115 kV,"-4,930.02"
PALERMO 230 kV,"-4,923.04"
PALO ALTO SW STA 115 kV,-396.32
PALOMAR AIRPORT 138 kV,-135.42
PALOMAR ENERGY 230 kV,-168.25
PANAMA 70 kV,"-1,008.02"
PANOCHE 115 kV,-792.56
PANOCHE 230 kV,-889.16
PARADISE 115 kV,"-3,677.64"
PARADISE 69 kV,"-3,806.51"
PARDEE 230 kV,-33.91
PARKWAY 230 kV,"-3,777.96"
PASO ROBLES 70 kV,-304.26
PASTORIA 230 kV,-41.92
PAUL SWEET 115 kV,53.25
PEABODY 230 kV,"-2,709.10"
PEACHTON 60 kV,"-4,656.13"
PEASE 115 kV,"-5,921.68"
PEASE 60 kV,"-5,848.47"
PENASQUITOS 138 kV,-183.8
PENASQUITOS 230 kV,-181.1
PENASQUITOS 69 kV,-194.41
PENDLETON 69 kV,5.71
PETALUMA A 60 kV,"-5,031.69"
PICO 138 kV,418.96
PIERCY 115 kV,111.53
PINEDALE 115 kV,-319.26
PISGAH 230 kV,-91.04
PIT 1 230 kV,"-4,791.48"
PIT 1 60 kV,"-4,791.48"
PIT 3 PH 230 kV,"-4,599.37"
PITTSBURG PP 115 kV,-87.26
PITTSBURG PP 230 kV,-85.44
PLACER 115 kV,"-14,609.04"
PLACER 60 kV,"-14,609.04"
PLAINFIELD 60 kV,"-3,873.46"
PLEASANT GROVE 115 kV,"-12,004.95"
POINT LOMA 69 kV,-273.77
POLE LINE 230 kV,"-1,525.65"
POMERADO 69 kV,-220.94
POWAY 69 kV,-216.77
PRIMM 230 kV,"-1,028.03"
PROCTOR VALLEY 138 kV,"-2,361"
PRUNEDALE 115 kV,64.29
PUEBLO 115 kV,"-5,043.01"
PUTAH CREEK 115 kV,"-3,999.19"
QUINTO SW STA 230 kV,493.77
RADUM 60 kV,"-2,519.29"
RANCHO CARMEL 69 kV,-212.37
RANCHO MISSION VIEJO 138 kV,290.75
RANCHO SANTA FE 69 kV,-205.79
RANCHO VISTA 230 kV,"2,792.06"
RANCHO VISTA 500 kV,"3,000"
